diagnostic_id,name,diagnostic_type,specimen_or_modality,general_description,limitations_summary,contraindications_summary,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
DIA-001,Electrocardiogram,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-002,Chest radiograph,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-003,Complete blood count,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-004,Basic metabolic panel,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-005,Comprehensive metabolic panel,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-006,Troponin assay,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-007,Urinalysis,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-008,Blood cultures,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-009,Computed tomography,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-010,Magnetic resonance imaging,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-011,Ultrasound,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-012,Echocardiography,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-013,Arterial blood gas,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-014,Venous blood gas,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-015,Lactate,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-016,D-dimer,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-017,Coagulation studies,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-018,Lumbar puncture,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-019,Electroencephalogram,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-020,Cardiac catheterization,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-021,Endoscopy,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-022,Colonoscopy,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-023,Pregnancy test,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-024,Peripheral smear,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-025,Thyroid studies,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-026,Hemoglobin A1c,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-027,B-type natriuretic peptide,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-028,Lipase,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-029,Liver panel,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
DIA-030,Drug screen,test,review_required,Draft diagnostic concept.,Review required.,Review required.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
